Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
FRAU WAGNER (PF/REV),G.,87787,S,"87'787	Frau G. Wagner (PF/REV)Langenscheidt's Taschenwörterbuch Englisch: Englisch-Deutsch/Deutsch-Englisch von Helmut Willmann, GiselaTürck, Heinz Messinger. Neubearbeitung 1997 in derneuen deutschen Rechtschreibung. (2. Auflag*).Berlin: Langenscheidt (K"
FRAU WAGNER (PF/REV),G.,87788,S,"87'788	Frau G. Wagner (PF/REV)L's Taschenwörterbuch Italienisch: Italienisch-Deutsch/Deutsch-Italienisch von Vladimiro Macchi und WalterFrenzel. (2. Auflage).Berlin: Langenscheidt (KG, 1998).        -16cm.1244 S."
FRAU WAGNER (PF/REV),G.,87789,S,"87'789	Frau G. Wagner (PF/REV)Duden.   Sinn- und sachverwandte Wörter... Neudruck der2. Auflage . .Mannheim: Dudenverlag, (1997).	-20cm.858 S."
FRAU OBERLI (CH/U3),,87790,S,"87-790	Frau Oberli (CH/U3)Pschyrembel, Willibald.   Klinisches Wörterbuch. 258.*A,Berlin: Walter de Gruyter, 1997.	-23cm,XXIII/1745 S.fill."
TRINKLER (CH/VDA),R.,87791,S,"87'791	R.Trinkler (CH/VDA)Iff, Roger.   Steuern der Privatpersonen. (Beobachter-Broschürenreihe zum Thema Steuern. Nr.l).(Zürich: Jean Frey AG, 1997).	-21cm.64 S."
WELSH (CH/IE),R.,87792,S,"87' 79Z._______________________R. Welsh (CH/IE)________Wall, Larry; Christiansen, Tom; Schwartz, Randal L.Programming Perl. 2nd edition. (A nutshell handbook).(Sebastopol, CA): O'Reilly & Associates, Inc., (1996).-23cm.XXI,646 p"
WELSH (CH/IE),R.,87793,S,"87'793__________________________R. Welsh (CH/IE)_____Schwartz, Randal L.; Christiansen, Tom.   Learning Perl.2nd edition. (A nutshell handbook).Sevastopol, CA: O'Reilly (& Associates, Inc., 1997).-23cm.XXIX,271 p."
WELSH (CH/IE),R.,87794,S,"87'794	R. Welsh (CH/IE)Carter, Alan R.   Windows NT 4.0; MCSE study guide.Foster City, ÇA: IDG Books Worldwide, Inc., (1997).-25cm.XLVI,1330 p.,1 CD-ROM."
CATELLANI (CH/STRIZ),,87795,S,"87'795	Catellani (CH/STIZ)Checklisten, die 199 besten, für Ihr Marketing./ IFAMInstitut für angewandte Marketing-Wissenschaften BDU.(Landsberg/Lech): Verlag Moderne Industrie, (1998).31cm.654 S."
FRAU KUNZ (CH/VAS),S.,87796,S,"87'796	Frau S.Kunz (CH/VAS)Meier, Harald.   Handwörterbuch der Aus- und Weiterbil-dung. 425 Methoden und Konzepte des betrieblichen Ler-nens mit Praxisbeispielen und Checklisten.(Neuwied: Hermann) Luchterhand (Verlag, 1995).    -24cm.IX,365 S."
SAI (CH/IX),P.,87797,S,"87'797	_____Sai, P. (CH/IX)_______Budd, Timothy.   An introduction to object=oriented pro-gramming. 2nd edition.Reading, MA: Addison-Wesley Longman,Ine., (1997 ). -24cm.XVIII,452 p."
FRAU BOZZATO (CH/STSD),,87798,S,"87'798	Frau Bozzato (CH/STSD)Doucet, Michel; Fleck, Klaus E.W.   Wörterbuch derRechts- und Wirtschaftssprache. Begründet von M1D',fortgeführt von K'E.W.F1. 5., neubearbeitete und erwei-terte Auflage. Teil I: Französisch-Deutsch. (Beck'scheRechts- und Wirt"
FRAU BOZZATO (CH/STSD),,87799,S,"87'799    ___  ____    Frau Bozzato (CH/STSD)Maurer, Alfred.   Schweizerisches Privatversicherungs-recht. 3., völlig neu bearbeitete Auflage. (Stämpflisjuristische Lehrbücher).Bern: Verlag Stämpfli + Cie AG, 1995.     -24cm.606 S."
FRAU BOZZATO (CH/STSD),,87800,S,"87'800	Frau Bozzato (CH/STSD)Heuer, Walter; Flückiger, Max; Gallmann, Peter,   Rich-tiges Deutsch. Die Sprachschule für alle. 23., (voll-ständig neu bearbeitete Auflage).(Zürich): Verlag Neue Zürcherzeitung, (1997).     -22cm.493 S."
FRAU BOZZATO (CH/STSD),,87801,S,"87' 801____________________Frau Bozzato (CH/STSD)_____Forstmoser, Peter ; Meier-Hayoz, Arthur; Nobel, Peter.Schweizerisches Aktienrecht.Bern: Verlag Stampfli + Cie AG, 1996).	-25cm.LXII,1113 S."
HITZ (CH/UG),THOMAS,87802,S,"87'802________________Frau fi iDaumgartnor (CH/UG)____Rechsteiner, Rudolf.   Sozialstaat Schweiz am Ende ?(Zürich): Unionsverlag, (1998).	-25cm.275 S."
SAI (CH/IX),P.,87803,S,"87'803	Sai, P. (CH/IX)Rumbaugh, James.  Object-oriented modeling and design,(Englewood Cliffs, NJ); Prentice-Hall International,Inc., (1991).	-24cm.XII,500 p."
SAI (CH/IX),P.,87804,S,"87'804	Sai, P. (CH/IX)Meyer, Bertrand.   Object success. A manager's guide toobject orientation, its impact on the corporation, andits use for reengineering the software process. (Theobject-oriented series).London: Prentice Hall, (1995).       -24cm.VIII,"
SAI (CH/IX),P.,87805,S,"87'805	Sai, P. (CH/IX)Yourdon, Edward; Argila, Carl.   Case studies in object-oriented analysis and design. (Yourdon Press computingseries).Upper Saddle River, NJ: Prentice-Hall(PTR, 1996).-26cm.XVIII,346 p.,1 diskette."
FRAU BOZZATO (CH/STSD),,87806,S,"87'806	Frau Bozzato (CH/STSD)Duden.   Stilwörterbuch der deutschen Sprache. Die Ver-wendung der Wörter im Satz. 7.*Auflage ...Mannheim: Dudenverlag, (1988).	-2Ocm.864 S."
FRAU BOZZATO (CH/STSD),,87807,S,"87'807	Frau Bozzato (CH/STRD)Duden. Sinn- und sachverwandte Wörter. Synonymwörter-buch der deutschen Sprache. . .Neudruck "".der 2.Auf läge ...Mannheim: Dudenverlag, 1997.	-2Ocm.858 S."
