Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext,index,id,file
FREIHANDELSASSOZIATION,,94544,A,"FreihandeleasBoziationFreihandelsassoziation, Europäische. Das Stockholmer Ueber-einkoramen und die Liberalisierung des Welthandels(Herausgegeben von den Regierungen der Sieben: Oesterreich,Dänemark, Norwegen, Portugal, Schweden, Schv/eiz, VereinigtesKöni",64,64,chunk_0.csv
KILLER,JAKOB,,A,"Killer,   Jakobs.   Gonnella,Giancarlo.   Unterwegs   im Kanton Luzern,",831,831,chunk_0.csv
FRITSCH,ALBERT,,A,"Fritscb »AlbertFritsch,Albert. Die Lebensversicherung mit Gewinnanteil unddie Umtausch-Polize.Ein Vorschlag.Leipzig:Jüstel & Göttel 1896.	(VI, 188 S.)58B	'",1262,1262,chunk_0.csv
FRITSCHI,RACHEL,,,"ü'ritschi     ,     Kachels,       Volkszählung,   eidgenössische,   1990.Wohnen  in der Schweiz.   [Autoren]:ïolande north,  Peter jj'arago  [u.a.],unter Mitarbeit  von K'ü""    ...",1264,1264,chunk_0.csv
FRITZ,ERNST,1520,A,"Fritz,     Ernst	•     <#£ &&FritZjErnst. Die Vermögensaniagen der Versicherungswirt-schaft in aufsichtsbeliörälicher Sicht.(Versicherungsstudien. Veröffentlichungen der Kölner Ver-sicherungswissenschaftlichen Vereinigung e.V. Heft 1).Berlin :Dunclcer & H",1266,1266,chunk_0.csv
FRITZ,MAX,12655,A,"Fritz     ,     MasFritz, Max.   Das Mitwirkungsgesetz - ein Handkonimentarmit Handlungshilfen für die Praxis zum Bundesgesetz überdie Information und Mitsprache der Arbeitneiimerinnen undArbeitnehmer in den Betrieben vom 17. Dezember 1993 undzur Âenderun",1267,1267,chunk_0.csv
FRITZ,MAX,91728,A,"Fritz     ,     MaiFritz,  Max.       Die neuen KttndigungsbeStimmungen des Ar-beitsvertragsrechtes — ein Handkommentar.(Zürich):   Zentralverband  schweizerischer Arbeitgeber-Organisationen,   (1988).	-21cm.49  S.Hrsger",1269,1269,chunk_0.csv
FRITZSCHE,HANS,1996,A,"Fritzsche,  HansFritzsche.Hans; Guldener,Max; Niederer,Werner. ZürcherUniversitätsschriften aus dem Zivilprozeesrecht, deminternationalen Privatrecht und der Rechtevergleichungaus den Jahren 1921-1952, [Bibliographie] geaammelt undherauag.v. H'F', M'G1 un",1275,1275,chunk_0.csv
FROEHLICH,ELISABETH,,A,"Fröhlich    ,     Elisabeths.       BUchi,  Walter A.;   F'E';   Jeanneret,  Roland.       DasLehrlingsbuch.   ...",1281,1281,chunk_0.csv
FROEHLICH,WALTER,3900/123,A,"Fröhlich, WalterFröhlich falter und-Stefan Va^da. Die Neuordnung des Ver-sicherungswesens in den Ländern des Tätigkeitsbereiches derLetensversicherungs-Gesellschaft Phönix.Das Versicherungsarchiv:   Sonderheft 2.(Wien 1956).	(79 S.)2314",1283,1283,chunk_0.csv
FROEHLICH-ZOLLINGER,H,5367,,"Proalich-Zollinger,    HFroelich-Zollínger,H	Die Schweiz als Srziehungs- undBildungsstätte.  1932.... Uebersicht sämtlicher Erziehungs- und Bildungsmöglichkei-ten und Jugendfürsorge-Einrichtungen aller Art..,11.*A.(Brugg)  1932.	(300 S.)2511	™            ",1284,1284,chunk_0.csv
FROELICHER,WALTER,,A,"Frölioher,WalterFrölicher,Walter. Die Rechtsverhältnisse der Verbindungs-geleise zwischen dem schweizerischen Eisenbahnnetz und ge-werblichen Anstalten.Diss.Univ.Bern.Solothurn:Union A.G.   1922.	(VI,194 S.)",1286,1286,chunk_0.csv
FROESE,JUERGEN,,A,"F r o  e  e  e     ,     Jürgens.       Systeiaent7iicli;lun.gf   effiziente,   mitOracle  1. Ein Handtuch, für die Praxisdes Anwendungsentwicklers,   [von]  J'F'",1287,1287,chunk_0.csv
FROMAIGEAT,E.,81870/1-3,A,"Fromaigeat,E	8l'870/1-3Fromaigeat.E. Deutsch-französisches Satzwörterbuch.(Praktisches Französisch zur Ergänzung dea Wörterbuches undder Grammatik). 3 Bände.Zürich:SKV (1944-1951).	(zus.914 S.)5057	'  (Prof .Dr.)             ,.",1290,1290,chunk_0.csv
FROMER,LEO,,A,"Fremer,     Leos.   Steuern,internationale,   Ifg,2.   2.Auflage,	(196l)",1292,1292,chunk_0.csv
FROMM,ERICH,5734,A,"Fromm, ErichFromm,Erich, Anatomie der menschlichen Destruktivität.Titel der Originalausgabe ""The anatomy of human destructiveness"". Uebersetzung aua dem Amerikanischen vonLiselotte und Ernst ICickel. 2.Auflage).(Stuttgart:)Deutsche Verlags-Anstalt,(1974Ì.",1293,1293,chunk_0.csv
YEAR BOOK,,94181,A,"Year    took""ïear TDOOk [of  the] American Institute of Actuaries1930 - 1935.Chicago 1930-1935.",1297,1297,chunk_0.csv
YEAR BOOK 1979-1980,,642,,"Tear    took	x- <                                           642, 7%^: e-rft-E-rLaytoir)-/1929-1937 - Xf7-^,Year book [of] the Inetitute of Actuaries.1928/1929, '^/i« 1930/1931-1934/1935, '?^4£      1937/1938_",1299,1299,chunk_0.csv
YNTEMA,L,,A,"Y n t e m as.  Campagne,C.  Met rendement van beleggingen van hetlevensverzekeringbedrijf.",1305,1305,chunk_0.csv
YOUNG,ARTHUR,5480,A,"Young »ArthurYoung, Arthur. Politische Arithmetik, enthaltend Bemerkungenüber den gegenwärtigen Zustand Grossbritanniens und überdie Grundsätze der Verwaltung dieses Staate in Absicht aufdie Beförderung des Ackerbaues.ÀKönigsberg:J.J.Kanter 1777.	(XVI,298",1308,1308,chunk_0.csv
YOUNG,T,3550,A,"Y o u n g , T      EYoung, T      E        Insurance. A practical expositionfor the student and business man.ALondon:Pitman. & Soné o.J.	(539 P*)683",1310,1310,chunk_0.csv
YOUNG,VASH,5523,A,"Young,  VashYoung, Vasa."" A fortune to Bbare"" and ""let's start over again.""ANew York City:Blue Ribbon Books,Ino. (1931-1932)•(157+192 p.ì",1311,1311,chunk_0.csv
YOURDON,EDWARD,84985,A,"Yourdon     ,     EdwardYourdon,  Edward;   Constantino,   Larry L.       Structured  de-sign. Fundaméntala of  a discipline of computer programsystems  design,   2nd  edition.New York,  Yourdon Press,   (1978).	-25cm.XIV,446  p22472",1314,1314,chunk_0.csv
YULE,G UDNY,3321,A,"Y u 1 e	, G      Udny                         33Z <fYale,G	Udny .An introduction to the theory of statistice2*ed.	With 53 figs.Aiodnon:Griffin & Co. 1912.	(XV,381 p.)482",1317,1317,chunk_0.csv
SCHWEIZER MARKT,,91626,A,"ScìiweizerMarktSchweizer Markt, der. Wegleitung. [Hrsg. von der] Verlags-gemeinschaf t für die Herausgabe der 4. Auflage der Weglei-tung ""Der Schweizer Markt"". (4. Auf läge). (Uebersetzung insDeutscho[von] Alfred Bürge). Les Guides du marché. Sammlungder ",1321,1321,chunk_0.csv
SCHWEIZER PIONIERE,,14471,A,"Schweizer    Pioniere	v 7¿f¿/—•?Schweizer Pioniere der Wirtschaft und Technik. Band 11:Johannee Naf-Enz,1826-1886 ; Gustave Waville-TJeher, 1848-1929; Louis Chevrolet,1878-1941; Samuel Blumer,1881-1959.(Herausgegeben vom) Verein für wirtschaftshistorische",1324,1324,chunk_0.csv
SCHWEIZER,,94471/16,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 16:Das Friedensabkonunen in der schweizerischen Maschinen-und Metallindustrie vom 19. Juli 1937 - Ernst DUbi, 1884-1947 = Konrad Jlg, 1877-1954. (Herausg.v.) Verein fürwirtschaftshistorische Stu",1326,1326,chunk_0.csv
SCHWEIZER,,94471/17,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band II:P.Theodosius Florentini ,1808-1865 .=Dr. ing. Adolf Gutzwi'l-1er,1882-1955 = Adolf Dätwyler,1885-1958^ (Herausg.v.)Verein für wirtschaftahistoriache Studien.Zürich 1966.	(119 S.)8625",1327,1327,chunk_0.csv
SCHWEIZER,,94471/19,A,"Schweizerua y4Schweizer Pioniere der Wirtschaft und Technik. Band 19.Drei Zürcher Pioniere: Paul Usteri, 1853-1927; HeinrichZoelly, 1862-1937; Karl Bretscher; 1885-1966.Zürich:Verein für wirtschaftshistorische Studien,1968.-8° , 130 S., ill., 3 Portr.-Taf",1329,1329,chunk_0.csv
SCHWEIZER,,94471,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 20Caspar Honegger, 1804-1883. Von Albert Gasser.Zürich:Verein für wirtschaftshistorische Studien,1968.-8°, 88 S., ill.l Portr.-Taf,",1330,1330,chunk_0.csv
SCHWEIZER PIONIERE,,94471/21,A,"Schweizer  Pioniere         ^^í^/ '%/Schweizer Pioniere der Wirtschaft und Technik. Band 21:Conrad Cramer-Frey, 1834-1900; Eduard Sulzer-Ziegler,1854-1913; Karl Friedrich Gegauf,1860-1926.Zürich:Verein für wirtschaftshistorische Studien,1969.-so, 118 S., ",1331,1331,chunk_0.csv
SCHWEIZER PIONIERE,,94471/26,A,"Schweizer  PionierSchweizer Pioniere der Wirtschaft und Technik. (Band)26.Zwei Pionierinnen der Volksgesundheit : Susanna Orelli-Rinderknecht,1845-1939 [und] Eise ZUblin-Spiller,1861-1948Zürich:Verein für wirtschaftshistorische Studien,1975.- 24 cm. 103 S",1335,1335,chunk_0.csv
